Constituent ID,Current Joined On Date,Current All Renewed On Dates,History All Renewed On Dates,Current Expires On,History Expires On,Current Category,History Membership Category
27634,12/11/2015,3/24/2018,,3/31/2019,12/31/2016,Family,Family
30737,1/11/2018,,,1/31/2019,1/31/2019,Family,Family
26898,6/1/2015,4/1/2019,12/7/2017,4/30/2020,12/31/2018,Family,Family
26898,6/1/2015,4/1/2019,4/1/2019,4/30/2020,4/30/2020,Family,Family
26898,6/1/2015,4/1/2019,,4/30/2020,6/30/2016,Family,Family
31287,4/21/2018,,,4/30/2019,4/30/2019,Family,Family
29518,3/11/2017,7/14/2019,,7/31/2020,3/31/2018,Family,Family
29518,3/11/2017,7/14/2019,4/14/2018,7/31/2020,4/30/2019,Family,Family
29518,3/11/2017,7/14/2019,7/14/2019,7/31/2020,7/31/2020,Family,Family
31875,11/9/2018,,,11/30/2019,11/30/2019,Enhanced,Enhanced
31120,3/25/2018,3/31/2019,3/31/2019,3/31/2020,3/31/2020,Family,Family
31120,3/25/2018,3/31/2019,,3/31/2020,3/31/2019,Family,Family
31229,4/7/2018,,,4/30/2019,4/30/2019,Enhanced,Enhanced
31379,6/9/2018,,,7/31/2019,7/31/2019,Family,Family
31343,5/19/2018,,,5/31/2019,5/31/2019,Family,Family
30710,1/6/2018,2/3/2019,2/3/2019,2/29/2020,2/29/2020,Family,Family
30710,1/6/2018,2/3/2019,,2/29/2020,1/31/2019,Family,Family
30397,11/18/2017,11/23/2018,,1/31/2020,1/31/2019,Enhanced,Enhanced
30397,11/18/2017,11/23/2018,11/23/2018,1/31/2020,1/31/2020,Enhanced,Enhanced
26261,9/23/2014,1/11/2019,,1/31/2020,9/30/2015,Family,Enhanced
26261,9/23/2014,1/11/2019,1/11/2019,1/31/2020,1/31/2020,Family,Family
26261,9/23/2014,1/11/2019,7/27/2016,1/31/2020,7/31/2017,Family,Family
26261,9/23/2014,1/11/2019,8/18/2017,1/31/2020,9/30/2018,Family,Family
28366,6/11/2016,4/11/2019,,4/30/2020,6/30/2017,Enhanced,Family
28366,6/11/2016,4/11/2019,4/11/2019,4/30/2020,4/30/2020,Enhanced,Enhanced
28366,6/11/2016,4/11/2019,10/14/2017,4/30/2020,10/31/2018,Enhanced,Enhanced
31746,9/25/2018,,,9/30/2019,9/30/2019,Family,Family
30229,10/5/2017,10/27/2018,,10/31/2019,10/31/2018,Family,Family
30229,10/5/2017,10/27/2018,10/27/2018,10/31/2019,10/31/2019,Family,Family
32253,1/9/2019,,,1/31/2020,1/31/2020,Family,Family
32370,2/7/2019,,,2/29/2020,2/29/2020,Family,Family
31191,4/5/2018,,,4/30/2019,4/30/2019,Elemental,Elemental
32275,1/12/2019,,,1/31/2020,1/31/2020,Enhanced,Enhanced
27466,10/13/2015,5/15/2019,,5/31/2020,10/31/2016,Family,Family
27466,10/13/2015,5/15/2019,9/28/2017,5/31/2020,9/30/2018,Family,Family
27466,10/13/2015,5/15/2019,5/15/2019,5/31/2020,5/31/2020,Family,Family
30808,1/27/2018,,,1/31/2019,1/31/2019,Family,Family
30216,9/29/2017,11/30/2018,,11/30/2019,9/30/2018,Elemental,Family
30216,9/29/2017,11/30/2018,11/30/2018,11/30/2019,11/30/2019,Elemental,Elemental
27475,10/17/2015,12/27/2018,,12/31/2019,10/31/2016,Family,Family
27475,10/17/2015,12/27/2018,11/2/2016,12/31/2019,11/30/2017,Family,Family
27475,10/17/2015,12/27/2018,12/27/2018,12/31/2019,12/31/2019,Family,Family
28642,9/17/2016,9/6/2018,,9/30/2019,9/30/2017,Family,Family
28642,9/17/2016,9/6/2018,9/6/2018,9/30/2019,9/30/2019,Family,Family
28642,9/17/2016,9/6/2018,9/29/2017,9/30/2019,9/30/2018,Family,Family
31144,3/29/2018,,,3/31/2019,3/31/2019,Family,Family
32508,3/8/2019,,,3/31/2020,3/31/2020,Family,Family
31674,8/31/2018,,,8/31/2019,8/31/2019,Family,Family
28360,6/9/2016,12/28/2017,,12/31/2018,6/30/2017,Family,Family
28360,6/9/2016,12/28/2017,12/28/2017,12/31/2018,12/31/2018,Family,Family
26240,8/23/2014,1/2/2018,,1/31/2019,8/31/2015,Family,Family
26240,8/23/2014,1/2/2018,1/2/2018,1/31/2019,1/31/2019,Family,Family
31743,9/21/2018,,,9/30/2019,9/30/2019,Family,Family
32841,6/15/2019,,,6/30/2020,6/30/2020,Enhanced,Enhanced
31077,3/18/2018,,,3/31/2019,3/31/2019,Family,Family
27952,2/13/2016,1/9/2019,1/9/2019,1/31/2020,1/31/2020,Enhanced,Enhanced
27952,2/13/2016,1/9/2019,,1/31/2020,2/28/2017,Enhanced,Enhanced
27952,2/13/2016,1/9/2019,2/23/2017,1/31/2020,2/28/2018,Enhanced,Enhanced
32069,12/17/2018,,,12/31/2019,12/31/2019,Elemental,Elemental
32768,5/3/2019,,,5/31/2020,5/31/2020,Elemental,Elemental
29500,3/7/2017,7/10/2019,,7/31/2020,3/31/2018,Family,Family
29500,3/7/2017,7/10/2019,7/10/2019,7/31/2020,7/31/2020,Family,Family
30287,10/17/2017,7/24/2019,,7/31/2020,10/31/2018,Family,Family
30287,10/17/2017,7/24/2019,7/24/2019,7/31/2020,7/31/2020,Family,Family
29504,3/8/2017,5/8/2019,5/8/2019,5/31/2020,5/31/2020,Family,Family
29504,3/8/2017,5/8/2019,,5/31/2020,3/31/2018,Family,Family
29504,3/8/2017,5/8/2019,3/27/2018,5/31/2020,3/31/2019,Family,Family
30366,11/12/2017,,,11/30/2018,11/30/2018,Family,Family
31967,12/1/2018,,,12/31/2019,12/31/2019,Family,Family
32662,4/2/2019,,,4/30/2020,4/30/2020,Family,Family
24445,1/17/2013,8/20/2018,,8/31/2019,1/31/2014,Family,Family
24445,1/17/2013,8/20/2018,2/11/2014,8/31/2019,2/28/2015,Family,Family
24445,1/17/2013,8/20/2018,3/6/2015,8/31/2019,4/30/2016,Family,Family
24445,1/17/2013,8/20/2018,2/23/2017,8/31/2019,2/28/2018,Family,Family
24445,1/17/2013,8/20/2018,8/20/2018,8/31/2019,8/31/2019,Family,Family
28965,12/16/2016,11/20/2018,,12/31/2019,12/31/2017,Enhanced,Family
28965,12/16/2016,11/20/2018,12/26/2017,12/31/2019,12/31/2018,Enhanced,Family
28965,12/16/2016,11/20/2018,11/20/2018,12/31/2019,12/31/2019,Enhanced,Enhanced
26427,11/29/2014,12/14/2018,,12/31/2019,12/31/2015,Family,Family
26427,11/29/2014,12/14/2018,12/4/2015,12/31/2019,12/31/2016,Family,Family
26427,11/29/2014,12/14/2018,11/23/2016,12/31/2019,12/31/2017,Family,Family
26427,11/29/2014,12/14/2018,12/5/2017,12/31/2019,12/31/2018,Family,Family
26427,11/29/2014,12/14/2018,12/14/2018,12/31/2019,12/31/2019,Family,Family
31278,4/24/2018,12/13/2018,,4/30/2020,4/30/2019,Family,Elemental
31278,4/24/2018,12/13/2018,12/13/2018,4/30/2020,4/30/2020,Family,Family
30897,2/19/2018,,,2/28/2019,2/28/2019,Family,Family
31156,3/30/2018,,,3/31/2019,3/31/2019,Family,Family
32698,4/9/2019,,,4/30/2020,4/30/2020,Family,Family
29034,12/22/2016,7/24/2018,,8/31/2019,12/31/2017,Family,Family
29034,12/22/2016,7/24/2018,7/24/2018,8/31/2019,8/31/2019,Family,Family
09247,8/15/1996,12/19/2018,,12/31/2019,8/31/1997,Family,Family
09247,8/15/1996,12/19/2018,12/19/2018,12/31/2019,12/31/2019,Family,Family
30774,1/20/2018,,,1/31/2019,1/31/2019,Family,Family
31685,9/11/2018,,,9/30/2019,9/30/2019,Elemental,Elemental
32263,1/11/2019,,,1/31/2020,1/31/2020,Enhanced,Enhanced
21574A,3/20/2010,2/9/2019,3/2/2011,2/29/2020,3/31/2012,Family,Family-Plus
21574A,3/20/2010,2/9/2019,,2/29/2020,3/31/2011,Family,Family-Plus
21574A,3/20/2010,2/9/2019,11/11/2017,2/29/2020,11/30/2018,Family,Family
21574A,3/20/2010,2/9/2019,2/9/2019,2/29/2020,2/29/2020,Family,Family
21574A,3/20/2010,2/9/2019,8/30/2016,2/29/2020,8/31/2017,Family,Family
23364,12/8/2011,4/20/2018,,4/30/2019,12/31/2012,Family,Family
23364,12/8/2011,4/20/2018,12/29/2012,4/30/2019,12/31/2013,Family,Family
23364,12/8/2011,4/20/2018,4/8/2015,4/30/2019,4/30/2016,Family,Family
23364,12/8/2011,4/20/2018,4/26/2016,4/30/2019,4/30/2017,Family,Family
23364,12/8/2011,4/20/2018,4/20/2018,4/30/2019,4/30/2019,Family,Family
29599,3/23/2017,4/4/2018,,4/30/2019,3/31/2018,Family,Family
29599,3/23/2017,4/4/2018,4/4/2018,4/30/2019,4/30/2019,Family,Family
27692,12/22/2015,12/6/2018,12/6/2016,12/31/2019,12/31/2017,Elemental,Family
27692,12/22/2015,12/6/2018,12/6/2018,12/31/2019,12/31/2019,Elemental,Elemental
27692,12/22/2015,12/6/2018,12/6/2017,12/31/2019,12/31/2018,Elemental,Elemental
27692,12/22/2015,12/6/2018,,12/31/2019,12/31/2016,Elemental,Family
28311,5/14/2016,12/19/2018,12/19/2018,12/31/2019,12/31/2019,Family,Family
28311,5/14/2016,12/19/2018,7/22/2017,12/31/2019,8/31/2018,Family,Family
28311,5/14/2016,12/19/2018,,12/31/2019,5/31/2017,Family,Family
31654,8/24/2018,,,8/31/2019,8/31/2019,Family,Family
29157,1/7/2017,6/29/2018,6/29/2018,7/31/2019,7/31/2019,Family,Family
29157,1/7/2017,6/29/2018,,7/31/2019,1/31/2018,Family,Family
32000,12/10/2018,,,12/31/2019,12/31/2019,Family,Family
31542,7/21/2018,,,8/31/2019,8/31/2019,Family,Family
26988,4/2/2015,6/11/2019,,6/30/2020,4/30/2016,Family,Family
26988,4/2/2015,6/11/2019,4/30/2016,6/30/2020,4/30/2017,Family,Family
26988,4/2/2015,6/11/2019,6/11/2019,6/30/2020,6/30/2020,Family,Family
26988,4/2/2015,6/11/2019,4/17/2017,6/30/2020,4/30/2018,Family,Family
26988,4/2/2015,6/11/2019,5/18/2018,6/30/2020,5/31/2019,Family,Family
21226,9/25/2009,11/18/2017,,11/30/2018,9/30/2010,Family,Family
21226,9/25/2009,11/18/2017,11/18/2017,11/30/2018,11/30/2018,Family,Family
31383,6/9/2018,,,7/31/2019,7/31/2019,Family,Family
31219,4/7/2018,,,4/30/2019,4/30/2019,Family,Family
31619,8/17/2018,,,8/31/2019,8/31/2019,Family,Family
27986,3/1/2016,2/16/2018,,2/28/2019,3/31/2017,Family,Family
27986,3/1/2016,2/16/2018,2/16/2018,2/28/2019,2/28/2019,Family,Family
30845,2/2/2018,3/22/2019,3/22/2019,3/31/2020,3/31/2020,Family,Family
30845,2/2/2018,3/22/2019,,3/31/2020,2/28/2019,Family,Family
25419,11/26/2013,12/27/2018,,12/31/2019,1/31/2015,Family,Family
25419,11/26/2013,12/27/2018,5/31/2014,12/31/2019,1/31/2016,Family,Family
25419,11/26/2013,12/27/2018,11/20/2015,12/31/2019,1/31/2017,Family,Family
25419,11/26/2013,12/27/2018,12/27/2018,12/31/2019,12/31/2019,Family,Family
25419,11/26/2013,12/27/2018,12/21/2017,12/31/2019,12/31/2018,Family,Family
28109,3/15/2016,4/1/2019,,4/30/2020,3/31/2017,Elemental,Enhanced
28109,3/15/2016,4/1/2019,3/16/2018,4/30/2020,3/31/2019,Elemental,Elemental
28109,3/15/2016,4/1/2019,4/1/2019,4/30/2020,4/30/2020,Elemental,Elemental
28109,3/15/2016,4/1/2019,3/31/2017,4/30/2020,3/31/2018,Elemental,Enhanced
28942,12/13/2016,3/19/2018,,3/31/2019,12/31/2017,Family,Family
28942,12/13/2016,3/19/2018,3/19/2018,3/31/2019,3/31/2019,Family,Family
31817,10/24/2018,,,10/31/2019,10/31/2019,Family,Family
32868,6/25/2019,,,6/30/2020,6/30/2020,Family,Family
30659,12/29/2017,1/3/2019,1/3/2019,1/31/2020,1/31/2020,Family,Family
30659,12/29/2017,1/3/2019,,1/31/2020,12/31/2018,Family,Family
28995,12/19/2016,4/16/2019,1/28/2018,4/30/2020,1/31/2019,Family,Family
28995,12/19/2016,4/16/2019,4/16/2019,4/30/2020,4/30/2020,Family,Family
28995,12/19/2016,4/16/2019,,4/30/2020,12/31/2017,Family,Family
30648,12/28/2017,2/8/2019,2/8/2019,2/29/2020,2/29/2020,Family,Family
30648,12/28/2017,2/8/2019,,2/29/2020,12/31/2018,Family,Family
28574,8/25/2016,11/29/2018,,12/31/2019,8/31/2017,Family,Family
28574,8/25/2016,11/29/2018,8/30/2017,12/31/2019,9/30/2018,Family,Family
28574,8/25/2016,11/29/2018,11/29/2018,12/31/2019,12/31/2019,Family,Family
28696,9/29/2016,11/11/2018,,11/30/2019,9/30/2017,Enhanced,Family
28696,9/29/2016,11/11/2018,10/4/2017,11/30/2019,10/31/2018,Enhanced,Elemental
28696,9/29/2016,11/11/2018,11/11/2018,11/30/2019,11/30/2019,Enhanced,Enhanced
27629,12/14/2015,12/17/2018,12/14/2017,12/31/2019,12/31/2018,Family,Family
27629,12/14/2015,12/17/2018,,12/31/2019,12/31/2016,Family,Family
27629,12/14/2015,12/17/2018,12/19/2016,12/31/2019,12/31/2017,Family,Family
27629,12/14/2015,12/17/2018,12/17/2018,12/31/2019,12/31/2019,Family,Family
25436,12/6/2013,9/11/2018,,9/30/2019,12/31/2014,Family,Family
25436,12/6/2013,9/11/2018,9/8/2016,9/30/2019,9/30/2017,Family,Family
25436,12/6/2013,9/11/2018,9/29/2017,9/30/2019,9/30/2018,Family,Family
25436,12/6/2013,9/11/2018,4/28/2015,9/30/2019,5/31/2016,Family,Family
25436,12/6/2013,9/11/2018,9/11/2018,9/30/2019,9/30/2019,Family,Family
30608,12/30/2017,,,12/31/2018,12/31/2018,Enhanced,Enhanced
30840,2/2/2018,,,2/28/2019,2/28/2019,Elemental,Elemental
32800,5/22/2019,,,5/31/2020,5/31/2020,Enhanced,Enhanced
31564,7/29/2018,,,8/31/2019,8/31/2019,Family,Family
27185,6/7/2015,1/13/2018,,1/31/2019,6/30/2016,Family,Family
27185,6/7/2015,1/13/2018,11/18/2016,1/31/2019,11/30/2017,Family,Family
27185,6/7/2015,1/13/2018,1/13/2018,1/31/2019,1/31/2019,Family,Family
30780,1/20/2018,,,1/31/2019,1/31/2019,Family,Family
30401,11/22/2017,10/21/2018,,12/31/2019,12/31/2018,Family,Family
30401,11/22/2017,10/21/2018,10/21/2018,12/31/2019,12/31/2019,Family,Family
31589,8/7/2018,,,8/31/2019,8/31/2019,Family,Family
30596,12/23/2017,12/5/2018,,12/31/2019,12/31/2018,Family,Family
30596,12/23/2017,12/5/2018,12/5/2018,12/31/2019,12/31/2019,Family,Family
26907,3/12/2015,4/3/2018,,4/30/2019,3/31/2016,Family,Family
26907,3/12/2015,4/3/2018,4/3/2018,4/30/2019,4/30/2019,Family,Family
26845,2/24/2015,1/25/2018,1/25/2018,1/31/2019,1/31/2019,Enhanced,Enhanced
26845,2/24/2015,1/25/2018,,1/31/2019,2/29/2016,Enhanced,Family
26845,2/24/2015,1/25/2018,1/3/2017,1/31/2019,1/31/2018,Enhanced,Family
29840,5/6/2017,6/18/2018,,7/31/2019,5/31/2018,Family,Family
29840,5/6/2017,6/18/2018,6/18/2018,7/31/2019,7/31/2019,Family,Family
32345,2/1/2019,,,2/29/2020,2/29/2020,Family,Family
31253,4/21/2018,4/25/2019,4/25/2019,4/30/2020,4/30/2020,Family,Family
31253,4/21/2018,4/25/2019,,4/30/2020,4/30/2019,Family,Family
32061,12/16/2018,,,12/31/2019,12/31/2019,Enhanced,Enhanced
-27785,1/7/2016,2/17/2019,,2/29/2020,1/31/2017,Family,Family
-27785,1/7/2016,2/17/2019,2/17/2019,2/29/2020,2/29/2020,Family,Family
-27785,1/7/2016,2/17/2019,1/26/2017,2/29/2020,1/31/2018,Family,Family
-27785,1/7/2016,2/17/2019,2/3/2018,2/29/2020,2/28/2019,Family,Family
32226,1/3/2019,,,1/31/2020,1/31/2020,Family,Family
31793,10/12/2018,,,10/31/2019,10/31/2019,Family,Family
25222,9/12/2013,6/29/2019,,6/30/2020,9/30/2014,Family,Family
25222,9/12/2013,6/29/2019,11/8/2014,6/30/2020,11/30/2015,Family,Family
25222,9/12/2013,6/29/2019,2/13/2016,6/30/2020,2/28/2017,Family,Family
25222,9/12/2013,6/29/2019,3/2/2017,6/30/2020,3/31/2018,Family,Family
25222,9/12/2013,6/29/2019,4/6/2018,6/30/2020,4/30/2019,Family,Family
25222,9/12/2013,6/29/2019,6/29/2019,6/30/2020,6/30/2020,Family,Family
18715,1/21/2007,6/22/2019,8/24/2011,6/30/2020,8/31/2012,Elemental,Family-Plus
18715,1/21/2007,6/22/2019,,6/30/2020,1/31/2008,Elemental,Family
18715,1/21/2007,6/22/2019,6/22/2019,6/30/2020,6/30/2020,Elemental,Elemental
18715,1/21/2007,6/22/2019,12/14/2016,6/30/2020,12/31/2017,Elemental,Enhanced
18715,1/21/2007,6/22/2019,5/16/2018,6/30/2020,5/31/2019,Elemental,Elemental
18715,1/21/2007,6/22/2019,10/30/2008,6/30/2020,9/30/2009,Elemental,Family
18715,1/21/2007,6/22/2019,,6/30/2020,9/30/2010,Elemental,Family-Plus
26366,11/8/2014,1/3/2018,,1/31/2019,11/30/2015,Family,Family
26366,11/8/2014,1/3/2018,12/29/2015,1/31/2019,12/31/2016,Family,Family
26366,11/8/2014,1/3/2018,12/6/2016,1/31/2019,12/31/2017,Family,Family
26366,11/8/2014,1/3/2018,1/3/2018,1/31/2019,1/31/2019,Family,Family
31347,5/20/2018,,,5/31/2019,5/31/2019,Family,Family
24383,12/31/2012,4/3/2019,,4/30/2020,12/31/2013,Family,Family
24383,12/31/2012,4/3/2019,4/3/2019,4/30/2020,4/30/2020,Family,Family
25843,4/2/2014,3/11/2018,,3/31/2019,4/30/2015,Enhanced,Family
25843,4/2/2014,3/11/2018,3/3/2016,3/31/2019,3/31/2017,Enhanced,Family
25843,4/2/2014,3/11/2018,3/11/2018,3/31/2019,3/31/2019,Enhanced,Enhanced
29623,3/25/2017,5/9/2019,,5/31/2020,3/31/2018,Family,Family
29623,3/25/2017,5/9/2019,5/9/2019,5/31/2020,5/31/2020,Family,Family
30887,2/15/2018,,,2/28/2019,2/28/2019,Family,Family
30474,12/6/2017,,,12/31/2018,12/31/2018,Family,Family
31741,9/27/2018,,,9/30/2019,9/30/2019,Family,Family
28897,12/2/2016,12/14/2017,12/14/2017,12/31/2018,12/31/2018,Elemental,Elemental
28897,12/2/2016,12/14/2017,,12/31/2018,12/31/2017,Elemental,Enhanced
32739,4/19/2019,,,4/30/2020,4/30/2020,Family,Family
32427,2/18/2019,,,2/29/2020,2/29/2020,Family,Family
21140,8/13/2009,1/10/2018,12/23/2011,1/31/2019,12/31/2012,Enhanced,Family
21140,8/13/2009,1/10/2018,1/11/2013,1/31/2019,1/31/2014,Enhanced,Family
21140,8/13/2009,1/10/2018,5/7/2014,1/31/2019,5/31/2015,Enhanced,Family
21140,8/13/2009,1/10/2018,11/25/2015,1/31/2019,11/30/2016,Enhanced,Family
21140,8/13/2009,1/10/2018,12/22/2016,1/31/2019,12/31/2017,Enhanced,Family
21140,8/13/2009,1/10/2018,1/10/2018,1/31/2019,1/31/2019,Enhanced,Enhanced
21140,8/13/2009,1/10/2018,,1/31/2019,8/31/2010,Enhanced,Family
21140,8/13/2009,1/10/2018,8/13/2010,1/31/2019,8/31/2011,Enhanced,Family
28893,11/30/2016,4/3/2018,,4/30/2019,11/30/2017,Family,Family
28893,11/30/2016,4/3/2018,4/3/2018,4/30/2019,4/30/2019,Family,Family
32168,12/26/2018,,,12/31/2019,12/31/2019,Family,Family
28989,12/7/2016,12/3/2018,,12/31/2019,12/31/2017,Elemental,Family
28989,12/7/2016,12/3/2018,12/21/2017,12/31/2019,12/31/2018,Elemental,Elemental
28989,12/7/2016,12/3/2018,12/3/2018,12/31/2019,12/31/2019,Elemental,Elemental
30732,1/9/2018,,,1/31/2019,1/31/2019,Family,Family
22980,8/9/2011,5/2/2018,,5/31/2019,8/31/2012,Family,Family
22980,8/9/2011,5/2/2018,8/7/2012,5/31/2019,8/31/2013,Family,Family
22980,8/9/2011,5/2/2018,5/2/2018,5/31/2019,5/31/2019,Family,Family
22980,8/9/2011,5/2/2018,8/1/2013,5/31/2019,8/31/2014,Family,Family
22980,8/9/2011,5/2/2018,8/31/2014,5/31/2019,8/31/2015,Family,Family
22980,8/9/2011,5/2/2018,5/16/2017,5/31/2019,5/31/2018,Family,Family
21941,9/4/2010,12/1/2018,4/19/2014,12/31/2019,4/30/2015,Family,Family
21941,9/4/2010,12/1/2018,2/18/2013,12/31/2019,2/28/2014,Family,Grandparent
21941,9/4/2010,12/1/2018,12/1/2018,12/31/2019,12/31/2019,Family,Family
21941,9/4/2010,12/1/2018,,12/31/2019,9/30/2011,Family,Family
21941,9/4/2010,12/1/2018,8/25/2017,12/31/2019,9/30/2018,Family,Family
30399,11/21/2017,2/6/2019,2/6/2019,2/29/2020,2/29/2020,Family,Family
30399,11/21/2017,2/6/2019,,2/29/2020,11/30/2018,Family,Family
32036,12/8/2018,,,12/31/2019,12/31/2019,Family,Family
28416,6/29/2016,4/4/2019,,4/30/2020,6/30/2017,Family,Family
28416,6/29/2016,4/4/2019,6/26/2017,4/30/2020,7/31/2018,Family,Family
28416,6/29/2016,4/4/2019,4/4/2019,4/30/2020,4/30/2020,Family,Family
22780,5/17/2011,11/15/2018,,11/30/2019,5/31/2012,Family,Family
22780,5/17/2011,11/15/2018,4/23/2012,11/30/2019,5/31/2013,Family,Family
22780,5/17/2011,11/15/2018,3/14/2014,11/30/2019,3/31/2015,Family,Family
22780,5/17/2011,11/15/2018,11/15/2018,11/30/2019,11/30/2019,Family,Family
27134,5/17/2015,6/26/2018,,7/31/2019,5/31/2016,Enhanced,Family
27134,5/17/2015,6/26/2018,4/27/2016,7/31/2019,5/31/2017,Enhanced,Family
27134,5/17/2015,6/26/2018,6/26/2018,7/31/2019,7/31/2019,Enhanced,Enhanced
31301,4/28/2018,,,4/30/2019,4/30/2019,Enhanced,Enhanced
30928,2/16/2018,,,2/28/2019,2/28/2019,Family,Family
29433,2/24/2017,2/4/2019,2/4/2019,2/29/2020,2/29/2020,Family,Family
29433,2/24/2017,2/4/2019,,2/29/2020,2/28/2018,Family,Family
29433,2/24/2017,2/4/2019,2/1/2018,2/29/2020,2/28/2019,Family,Family
31782,10/9/2018,,,10/31/2019,10/31/2019,Enhanced,Enhanced
24773,4/1/2013,10/31/2017,11/11/2014,10/31/2018,11/30/2015,Family,Family
24773,4/1/2013,10/31/2017,,10/31/2018,4/30/2014,Family,Family
24773,4/1/2013,10/31/2017,10/31/2017,10/31/2018,10/31/2018,Family,Family
18740,2/2/2007,7/14/2018,,8/31/2019,2/29/2008,Family,Family
18740,2/2/2007,7/14/2018,7/14/2018,8/31/2019,8/31/2019,Family,Family
31427,6/22/2018,,,7/31/2019,7/31/2019,Elemental,Elemental
23629,2/4/2012,2/16/2019,12/11/2012,2/29/2020,2/28/2014,Family,Family
23629,2/4/2012,2/16/2019,,2/29/2020,2/28/2013,Family,Family
23629,2/4/2012,2/16/2019,12/18/2013,2/29/2020,2/28/2015,Family,Family
23629,2/4/2012,2/16/2019,2/16/2019,2/29/2020,2/29/2020,Family,Family
23629,2/4/2012,2/16/2019,1/3/2015,2/29/2020,3/31/2016,Family,Family
23629,2/4/2012,2/16/2019,12/16/2015,2/29/2020,3/31/2017,Family,Family
23629,2/4/2012,2/16/2019,12/12/2016,2/29/2020,3/31/2018,Family,Family
29394,2/17/2017,2/17/2018,,2/28/2019,2/28/2018,Family,Family
29394,2/17/2017,2/17/2018,2/17/2018,2/28/2019,2/28/2019,Family,Family
30355,11/11/2017,,,11/30/2018,11/30/2018,Enhanced,Enhanced
27420,9/12/2015,2/21/2018,,2/28/2019,9/30/2016,Family,Family
27420,9/12/2015,2/21/2018,2/12/2017,2/28/2019,2/28/2018,Family,Family
27420,9/12/2015,2/21/2018,2/21/2018,2/28/2019,2/28/2019,Family,Family
30886,2/15/2018,,,2/28/2019,2/28/2019,Family,Family
31170,4/8/2018,12/11/2018,,4/30/2020,4/30/2019,Family,Family
31170,4/8/2018,12/11/2018,12/11/2018,4/30/2020,4/30/2020,Family,Family
32786,5/13/2019,,,5/31/2020,5/31/2020,Family,Family
25797,3/20/2014,12/21/2017,,12/31/2018,3/31/2015,Family,Family
25797,3/20/2014,12/21/2017,11/10/2016,12/31/2018,11/30/2017,Family,Family
25797,3/20/2014,12/21/2017,3/22/2015,12/31/2018,4/30/2016,Family,Family
25797,3/20/2014,12/21/2017,12/21/2017,12/31/2018,12/31/2018,Family,Family
31145,3/31/2018,,,3/31/2019,3/31/2019,Family,Family
32506,3/6/2019,,,3/31/2020,3/31/2020,Elemental,Elemental
29855,5/11/2017,9/11/2018,,9/30/2019,5/31/2018,Family,Family
29855,5/11/2017,9/11/2018,9/11/2018,9/30/2019,9/30/2019,Family,Family
21567,3/14/2010,4/29/2018,6/1/2011,4/30/2019,6/30/2012,Family,Family-Plus
21567,3/14/2010,4/29/2018,,4/30/2019,3/31/2011,Family,Family-Plus
21567,3/14/2010,4/29/2018,4/29/2018,4/30/2019,4/30/2019,Family,Family
21567,3/14/2010,4/29/2018,2/28/2016,4/30/2019,2/28/2017,Family,Enhanced
21567,3/14/2010,4/29/2018,4/1/2017,4/30/2019,4/30/2018,Family,Family
32839,6/13/2019,,,6/30/2020,6/30/2020,Family,Family
30823,1/27/2018,,,1/31/2019,1/31/2019,Family,Family
30922,2/17/2018,,,2/28/2019,2/28/2019,Family,Family
31163,3/30/2018,,,3/31/2019,3/31/2019,Enhanced,Enhanced
32264,1/11/2019,,,1/31/2020,1/31/2020,Family,Family
26440,12/2/2014,7/21/2018,,8/31/2019,12/31/2015,Family,Family
26440,12/2/2014,7/21/2018,1/26/2016,8/31/2019,1/31/2017,Family,Family
26440,12/2/2014,7/21/2018,3/23/2017,8/31/2019,3/31/2018,Family,Family
26440,12/2/2014,7/21/2018,7/21/2018,8/31/2019,8/31/2019,Family,Family
31432,6/26/2018,,,7/31/2019,7/31/2019,Family,Family
31190,4/5/2018,,,4/30/2019,4/30/2019,Elemental,Elemental
32611,3/26/2019,,,3/31/2020,3/31/2020,Family,Family
30688,1/2/2018,,,1/31/2019,1/31/2019,Family,Family
31553,7/24/2018,,,8/31/2019,8/31/2019,Family,Family
31508,7/17/2018,,,8/31/2019,8/31/2019,Family,Family
30480,12/9/2017,,,12/31/2018,12/31/2018,Family,Family
30095,8/12/2017,8/19/2018,,8/31/2019,8/31/2018,Family,Family
30095,8/12/2017,8/19/2018,8/19/2018,8/31/2019,8/31/2019,Family,Family
24279,11/27/2012,10/5/2018,,10/31/2019,11/30/2013,Family,Family
24279,11/27/2012,10/5/2018,1/17/2014,10/31/2019,1/31/2015,Family,Family
24279,11/27/2012,10/5/2018,12/19/2014,10/31/2019,2/29/2016,Family,Family
24279,11/27/2012,10/5/2018,12/23/2015,10/31/2019,2/28/2017,Family,Family
24279,11/27/2012,10/5/2018,12/23/2016,10/31/2019,2/28/2018,Family,Family
24279,11/27/2012,10/5/2018,10/5/2018,10/31/2019,10/31/2019,Family,Family
20805,3/23/2009,2/12/2019,,2/29/2020,3/31/2010,Enhanced,Family
20805,3/23/2009,2/12/2019,2/12/2019,2/29/2020,2/29/2020,Enhanced,Enhanced
29801,5/2/2017,6/14/2018,,7/31/2019,5/31/2018,Enhanced,Family
29801,5/2/2017,6/14/2018,6/14/2018,7/31/2019,7/31/2019,Enhanced,Enhanced
20920,5/6/2009,7/18/2019,8/1/2011,7/31/2020,8/31/2012,Family,Family
