Preferred State,County,scholar,birthday_party,labs,preschool_prog,homeschool_prog,expiration_date,member_category,membership_year,member_threeplus,unknown_renewal_time,known_time_renewed,total_renewed_times,percent_late
Michigan,Clinton,0,0,0,0,0,12/31/2018,Enhanced,7,1,0,6,6,0.666666667
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,2,0,0,1,1,1
Michigan,Ingham,1,0,0,0,0,12/31/2019,Family,7,1,0,6,6,0.666666667
Michigan,Ingham,0,0,0,0,0,6/30/2020,Family,12,1,1,10,11,0.090909091
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,17,1,0,16,16,0.3125
Michigan,Ingham,0,0,0,0,0,7/31/2020,Family,2,0,0,1,1,1
Michigan,Macomb,0,0,0,0,0,2/28/2019,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,7/31/2020,Family,2,0,0,1,1,1
Michigan,Eaton,0,0,0,0,0,12/31/2019,Family,2,0,0,1,1,1
Michigan,Leelanau,0,0,0,0,0,2/29/2020,Elemental,20,1,1,18,19,0.052631579
Michigan,Ingham,0,1,0,0,0,10/31/2018,Family,2,0,0,1,1,1
Michigan,Eaton,0,0,0,0,0,3/31/2019,Family,11,1,0,10,10,0.3
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,7,1,0,6,6,0.833333333
Michigan,Eaton,0,0,0,0,0,2/28/2019,Elemental,7,1,0,6,6,0.666666667
Michigan,Ingham,1,0,0,0,0,5/31/2019,Family,2,0,0,1,1,1
North Carolina,Randolph,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,3/31/2021,Family,16,1,0,15,15,0.533333333
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,4,1,0,3,3,1
Michigan,Ingham,0,0,0,0,0,10/31/2019,Family,5,1,0,4,4,1
Michigan,Eaton,0,0,0,0,0,5/31/2019,Enhanced,5,1,0,4,4,1
Michigan,Ingham,0,0,0,0,0,9/30/2019,Family,1,0,0,0,0,0
Michigan,Calhoun,0,0,0,0,0,1/31/2019,Family,6,1,0,5,5,1
Michigan,Ingham,0,0,0,0,0,11/30/2018,Family,6,1,0,5,5,1
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,7,1,0,6,6,0.833333333
Michigan,Ingham,0,0,0,0,0,9/30/2019,Elemental,16,1,1,14,15,0.266666667
Michigan,Ingham,0,0,0,0,0,3/31/2019,Enhanced,14,1,0,13,13,0.384615385
Michigan,Genesee,0,0,0,0,0,8/31/2019,Elemental,3,1,1,1,2,0.5
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,12,1,0,11,11,0.181818182
Michigan,Ingham,0,0,0,0,0,6/30/2020,Family,12,1,0,11,11,0.454545455
Michigan,Ingham,0,0,0,0,0,8/31/2019,Elemental,2,0,0,1,1,1
Michigan,Eaton,0,0,0,0,0,5/31/2019,Family,9,1,0,8,8,0.875
Michigan,Ingham,0,0,0,0,0,2/29/2020,Elemental,14,1,0,13,13,0.153846154
Michigan,Ingham,0,0,0,0,0,12/31/2018,Family,9,1,0,8,8,1
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,7,1,0,6,6,1
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,4,1,0,3,3,1
Michigan,Eaton,0,0,0,0,0,4/30/2019,Elemental,6,1,0,5,5,1
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,9,1,0,8,8,0.75
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,7,1,0,6,6,0.5
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,13,1,0,12,12,0.166666667
Michigan,Ingham,0,0,0,0,0,9/30/2019,Family,8,1,0,7,7,0.428571429
Michigan,Ingham,0,0,0,0,0,11/30/2018,Family,13,1,0,12,12,0.166666667
Michigan,Livingston,0,0,0,0,0,3/31/2020,Family,6,1,0,5,5,0.8
Michigan,Ingham,0,0,0,0,0,8/31/2019,Elemental,8,1,0,7,7,1
Michigan,Ingham,0,0,0,0,0,5/31/2020,Elemental,10,1,1,8,9,0.666666667
Michigan,Ingham,1,0,0,0,0,9/30/2019,Family,10,1,0,9,9,0.777777778
Michigan,Ingham,0,0,0,0,0,1/31/2020,Family,2,0,0,1,1,1
Utah,Washington,0,0,0,0,0,3/31/2019,Elemental,11,1,0,10,10,0.7
Michigan,Ingham,1,0,0,0,0,10/31/2018,Family,2,0,0,1,1,1
Michigan,Clinton,0,0,0,0,0,11/30/2018,Enhanced,8,1,0,7,7,0.285714286
Michigan,Ingham,0,0,0,0,0,12/31/2019,Elemental,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,6/30/2020,Family,14,1,0,13,13,0
Michigan,Ingham,0,0,0,0,0,7/31/2020,Elemental,9,1,0,8,8,0.625
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,4,1,0,3,3,0.666666667
Michigan,Eaton,0,0,0,0,0,8/31/2019,Family,7,1,0,6,6,0.5
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,11,1,0,10,10,0.5
Michigan,Ingham,0,0,0,0,0,12/31/2019,Enhanced,7,1,0,6,6,1
Michigan,Clinton,0,0,0,0,0,12/31/2019,Enhanced,8,1,0,7,7,0.428571429
Michigan,Ingham,0,0,0,0,0,3/31/2020,Elemental,12,1,0,11,11,0.454545455
Michigan,Ingham,0,1,0,0,0,12/31/2018,Enhanced,3,1,0,2,2,0.5
Michigan,Ingham,0,0,0,0,0,9/30/2019,Family,7,1,0,6,6,0.666666667
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,3,1,0,2,2,1
Michigan,Ingham,0,0,0,0,0,4/30/2019,Family,11,1,0,10,10,0.5
Michigan,Eaton,0,0,0,0,0,2/29/2020,Family,6,1,1,4,5,0.6
Michigan,Ingham,0,0,1,0,0,3/31/2019,Family,9,1,0,8,8,0.75
0,,0,0,0,0,0,2/29/2020,Elemental,13,1,1,11,12,0
Michigan,Ingham,0,0,0,0,0,11/30/2019,Family,7,1,0,6,6,0.166666667
Michigan,Eaton,0,0,0,0,0,6/30/2020,Elemental,7,1,1,5,6,0.833333333
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,11/30/2019,Family,9,1,0,8,8,1
Michigan,Clinton,0,1,0,0,0,4/30/2019,Family,4,1,0,3,3,1
Michigan,Ingham,0,0,0,0,0,12/31/2018,Family,8,1,0,7,7,0.285714286
Michigan,Eaton,0,0,1,0,0,5/31/2020,Family,5,1,0,4,4,1
Michigan,Ingham,0,0,1,0,0,6/30/2019,Family,3,1,0,2,2,0.5
Michigan,Ingham,0,0,0,0,0,10/31/2019,Family,6,1,1,4,5,0.4
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,1,0,0,0,0,0
Michigan,Ingham,0,0,0,0,0,2/28/2019,Enhanced,10,1,0,9,9,0.666666667
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,10,1,0,9,9,0.555555556
Michigan,Eaton,0,0,0,0,0,7/31/2019,Family,8,1,0,7,7,0.857142857
Michigan,Ingham,0,0,0,0,0,7/31/2019,Family,8,1,0,7,7,0.571428571
Michigan,Eaton,0,0,0,0,0,2/28/2019,Family,7,1,0,6,6,0.333333333
Michigan,Ingham,0,0,0,0,0,3/31/2019,Family,10,1,1,8,9,0.333333333
Michigan,Ingham,0,0,0,0,0,11/30/2018,Elemental,10,1,0,9,9,0.555555556
